CCN,CODCNH,Nombre Centro,Dirección,Teléfono,Cód. Municipio,Municipio,Cód. Provincia,Provincia,Cód. CCAA,CCAA,Código Postal,CAMAS,Cód. Clase de Centro,Clase de Centro,Cód. Dep. Funcional,Dependencia Funcional,Forma parte Complejo,CODIDCOM,Nombre del Complejo,ALTA,Email,lat,lon
1012000183,120043,Consorcio Hospitalario Provincial de Castellón,Avenida Doctor Clara 19,964354303;964359700,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12002,257,C11,Hospitales Generales,4,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,N,,,N,direccion.gerencia@hospitalprovincial.es,39.9841363,-0.0461334
1012000182,120038,Hospital La Magdalena,Camino Collet 32,964356800,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,128,C13,Hospitales de media y larga estancia,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,39.9944894,-0.0597075
1012000180,120017,Hospital General Universitario de Castellón,Avenida Benicàssim S/N,964725000;964726510,120402,Castelló de la Plana,12,Castellón,10,Comunidad Valenciana,12004,521,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,sugerencias_dscs@gva.es,39.9998566,-0.0402557
1012000178,120136,Hospital Universitario de La Plana,"Carretera Vila-Real A Borriana KM 0,5",964399775;964399845,121359,Vila-real,12,Castellón,10,Comunidad Valenciana,12540,258,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,hlp_gerencia@gva.es,39.9247052,-0.0971202
1012000288,120115,Hospital Comarcal de Vinaros,Avenida Gil de Atrocillo S/N,964400032;964477000,121384,Vinaròs,12,Castellón,10,Comunidad Valenciana,12500,174,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,suay_ale@gva.es,40.4659965,0.454374
813000450,130052,Hospital General La Mancha Centro,Avenida De La Constitución 3,926580500,130052,Alcázar de San Juan,13,Ciudad Real,8,Castilla-La Mancha,13600,362,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,39.3960821,-3.2202585
813000043,130049,Hospital Quironsalud Ciudad Real,Calle Alisos 19,926255008,130343,Ciudad Real,13,Ciudad Real,8,Castilla-La Mancha,13002,55,C11,Hospitales Generales,20,Privados,N,,,N,ciudad.real@quironsalud.es,38.9797023,-3.9388444
813000583,130034,Servicios Sanitarios y Asistenciales,Ronda Del Carmen S/Nº,926231275,130343,Ciudad Real,13,Ciudad Real,8,Castilla-La Mancha,13002,87,C14,Hospitales de salud mental y tratamiento de toxicomanías,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,administracionssa@dipucr.es,38.9920627,-3.9319468
813000595,130127,Hospital General Universitario  de Ciudad Real,Calle Obispo Rafael Torija S/N,926278000,130343,Ciudad Real,13,Ciudad Real,8,Castilla-La Mancha,13005,564,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,38.96924,-3.9288716
813000577,130065,Hospital Virgen de Altagracia,Avenida D. Emiliano García Roldan 2,000000000,130533,Manzanares,13,Ciudad Real,8,Castilla-La Mancha,13200,118,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,38.9994091,-3.363108
813000578,130071,Hospital Santa Bárbara,Carretera Malagón S/Nº,926421100,130718,Puertollano,13,Ciudad Real,8,Castilla-La Mancha,13500,141,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,38.705413,-4.107501
813000931,130128,Hospital General de Tomelloso,Calle Vereda de Socuellamos S/N,926525800,130821,Tomelloso,13,Ciudad Real,8,Castilla-La Mancha,13700,155,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,gai.tomelloso@sescam.jccm.es,39.1719054,-3.0102779
813000584,130087,Hospital General de Valdepeñas,Avenida De Los Estudiantes S/Nº,926320200,130874,Valdepeñas,13,Ciudad Real,8,Castilla-La Mancha,13300,103,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,38.7706653,-3.3937703
1215000183,150341,Hospital Publico Virxe Da Xunqueira,Paseo Alcalde Pepe Sanchez 7,981706010,150238,Cee,15,A Coruña,12,Galicia,15270,74,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,42.9536663,-9.1911621
114000529,140116,Hospital Infanta  Margarita,Avenida Góngora S/N,957021300,140137,Cabra,14,Córdoba,1,Andalucía,14940,232,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140274.0,Hospital Infanta Margarita,N,,37.4712517,-4.4250798
114000537,140076,Hospital Cruz Roja de Córdoba,Paseo De La Victoria S/N,957420666,140214,Córdoba,14,Córdoba,1,Andalucía,14004,138,C11,Hospitales Generales,20,Privados,N,,,N,luciaretenaga@hcrc.es,37.8829134,-4.7849949
114000536,140082,Hospital San Juan de Dios de Córdoba,Avenida Del Brillante 106,957274600,140214,Córdoba,14,Córdoba,1,Andalucía,14012,205,C11,Hospitales Generales,20,Privados,N,,,N,cordoba.hospital@sjd.es,37.9094209,-4.7926211
114003668,140241,Hospital Quironsalud Córdoba,"Avenida Del Aeropuerto, S/N S/N",957410000,140214,Córdoba,14,Córdoba,1,Andalucía,14004,115,C11,Hospitales Generales,20,Privados,N,,,N,info.cor@quironsalud.es,37.8773154,-4.7923508
114000533,140044,Hospital Materno - Infantil del H.U. Reina Sofía,Avenida Menéndez Pidal S/N,957010380,140214,Córdoba,14,Córdoba,1,Andalucía,14004,194,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,,37.8684725,-4.7975622
114000532,140039,Hospital Los Morales,Carretera Los Molares S/N,957012042,140214,Córdoba,14,Córdoba,1,Andalucía,14012,19,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,,37.9295574,-4.8042431
114000531,140060,Hospital Provincial,Avenida Menéndez Pidal S/N,957011604,140214,Córdoba,14,Córdoba,1,Andalucía,14004,389,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,,37.8684725,-4.7975622
114000530,140230,Hospital Universitario Reina Sofía,Avenida Menéndez Pidal S/N,957010380,140214,Córdoba,14,Córdoba,1,Andalucía,14004,607,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,gerencia.hrs.sspa@juntadeandalucia.es,37.8684725,-4.7975622
114003703,140263,Hospital Palma del Río,Avenida V Califa S/N,000000000,140214,Córdoba,14,Córdoba,1,Andalucía,14700,20,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,,,
114003688,140252,Hospital Centro de Andalucía,Calle Pontevedra 1,000000000,140386,Lucena,14,Córdoba,1,Andalucía,14900,196,C11,Hospitales Generales,20,Privados,N,,,N,,37.3886594,-4.5089373
114000873,140195,Hospital de Montilla,"Carretera Ctra. Montoro-Puente Genil, Km. 65,350 S/N",957022600,140425,Montilla,14,Córdoba,1,Andalucía,14550,73,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140274.0,Hospital Infanta Margarita,N,,37.3909975,-4.7665698
114001599,140229,Hospital de Alta Resolución Valle del Guadiato,Calle Paraje Cerro del Camello S/N,957579100,140522,Peñarroya-Pueblonuevo,14,Córdoba,1,Andalucía,14200,17,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140285.0,Hospital Valle de Los Pedroches,N,hvguadiato.asnc.sspa@juntadeandalucia,38.3085072,-5.2704065
114000535,140121,Hospital Valle de Los Pedroches,Calle Juan del Rey Calero S/N,957026306,140543,Pozoblanco,14,Córdoba,1,Andalucía,14400,142,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140285.0,Hospital Valle de Los Pedroches,N,,38.3828934,-4.8493786
114001301,140218,Hospital de Alta Resolución  de Puente Genil,Calle Burgos S/N,957615000,140569,Puente Genil,14,Córdoba,1,Andalucía,14500,24,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140274.0,Hospital Infanta Margarita,N,,37.3992052,-4.7512309
1215000176,150354,Hm Modelo-Belén,Calle Virrey Osorio 30,981147300,150308,"Coruña, A",15,A Coruña,12,Galicia,15011,146,C11,Hospitales Generales,20,Privados,N,,,N,iarias@hmhospitales.com,43.3666621,-8.4209109
1215000173,150050,Centro Oncoloxico de Galicia,Calle Doctor Camilo Veiras 1,981287499,150308,"Coruña, A",15,A Coruña,12,Galicia,15009,56,C12,Hospitales especializados,20,Privados,N,,,N,contacto@cog.es,43.3371311,-8.3899678
1215000175,150079,Hospital San Rafael,Lugar Jubias de Arriba 82,981179000,150308,"Coruña, A",15,A Coruña,12,Galicia,15006,120,C11,Hospitales Generales,20,Privados,N,,,N,ade@imqsanrafael.es,43.34518,-8.38763
1215000174,150063,Hospital Quironsalud A Coruña,Calle Londres 2,981219800,150308,"Coruña, A",15,A Coruña,12,Galicia,15009,127,C11,Hospitales Generales,20,Privados,N,,,N,info.acoruna@quironsalud.es,43.328501,-8.40002
1215000172,150011,Complexo Hospitalario Universitario A Coruña,Lugar Jubias de Arriba 84,981178000,150308,"Coruña, A",15,A Coruña,12,Galicia,15006,1365,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,43.3449627,-8.3855188
1215000178,150177,Hospital Ribera Juan Cardona,Calle Pardo Bazán S/N,981312500,150367,Ferrol,15,A Coruña,12,Galicia,15406,150,C11,Hospitales Generales,20,Privados,N,,,N,info@hjcardona.org,43.4814358,-8.201051
1215000177,150130,Complexo Hospitalario Universitario de Ferrol,Avenida Residencia S/N,981334000,150367,Ferrol,15,A Coruña,12,Galicia,15405,469,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,43.5002692,-8.2140786
1215000169,150308,Hestia La Robleda,Lugar Santiso S/N,981585811,150660,"Pino, O",15,A Coruña,12,Galicia,15821,96,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,,,N,,42.9359076,-8.3330345
1215000182,150336,Hospital Publico Da Barbanza,Lugar Salmon S/N,981835985,150737,Ribeira,15,A Coruña,12,Galicia,15993,82,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,42.5909479,-9.0035689
1215000181,150365,Hospital Hm Rosaleda-Hm La Esperanza,Calle Santiago Leon de Caracas (De) 1,981551200;981551225,150780,Santiago de Compostela,15,A Coruña,12,Galicia,15701,119,C11,Hospitales Generales,20,Privados,N,,,N,secretaria.direccion.hmgr@hmhospitales.com,42.8718187,-8.5462775
1215000179,150200,Complexo Hospitalario Universitario de Santiago,Calle Choupana (Da) S/N,981950000,150780,Santiago de Compostela,15,A Coruña,12,Galicia,15706,1511,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,42.8693812,-8.5657444
816000342,160053,"Hospital Recoletas Cuenca, S.L.U.",Avenida De San Julián 1,969232500,160783,Cuenca,16,Cuenca,8,Castilla-La Mancha,16003,30,C11,Hospitales Generales,20,Privados,N,,,N,olga.barrios.aj@gruporecoletas.com,40.067133,-2.145625
816000170,160014,Hospital Virgen de La Luz,Calle Hermandad Donantes de Sangre 1,969179900,160783,Cuenca,16,Cuenca,8,Castilla-La Mancha,16002,388,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,40.0757078,-2.1479281
917000807,170097,Clinica Salus Infirmorum,Paseo Mossèn Lluis Constants 130,972570208,170157,Banyoles,17,Girona,9,Cataluña,17820,100,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,si.direc@teleline.es,42.1146618,2.7612584
917000823,170237,Hospital Comarcal de Blanes,Carretera Accés Cala Sant Francesc 5,972353264,170237,Blanes,17,Girona,9,Cataluña,17300,121,C11,Hospitales Generales,8,Otras Entidades u o rganismos Públicos,N,,,N,csselva@conecta.es,41.6872442,2.8021709
917000808,170101,Hospital de Sant Jaume,Calle Jaume Arcelos 1,972331550,170237,Blanes,17,Girona,9,Cataluña,17300,23,C13,Hospitales de media y larga estancia,8,Otras Entidades u o rganismos Públicos,N,,,N,salut@salutms.cat,41.6759224,2.7868916
917000809,170118,Hospital de Campdevanol,Carretera De Gombrèn 20,972730028,170366,Campdevànol,17,Girona,9,Cataluña,17530,80,C11,Hospitales Generales,20,Privados,N,,,N,gerencia@hoscamp.com,42.2227,2.16673
917000810,170123,Hospital de Figueres,Ronda Rector Aroles S/N,972501400,170669,Figueres,17,Girona,9,Cataluña,17600,168,C11,Hospitales Generales,20,Privados,N,,,N,direccio@hospfig.es,42.2683545,2.9536167
917000827,170288,Centre Sociosanitari Bernat Jaume,Ronda Rector Aroles S/N,972501400,170669,Figueres,17,Girona,9,Cataluña,17600,121,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,hospital@hospitaldefigueres.com,42.2683545,2.9536167
917000811,170139,Clinica Santa Creu,"Calle Pere III, 41",972503650,170669,Figueres,17,Girona,9,Cataluña,17600,35,C11,Hospitales Generales,20,Privados,N,,,N,administracio@clinicasantacreu.com,42.2620693,2.9617191
917000825,170255,Hospital Sociosanitari Mutuam Girona,Avenida França 64,972171819,170792,Girona,17,Girona,9,Cataluña,17007,104,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,mutuam@mutuam.com,41.9990217,2.8184657
917000824,170242,Residencia Geriátrica Maria Gay,Calle Portal Nou 12,972205045,170792,Girona,17,Girona,9,Cataluña,17004,24,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,info.mgay@irsjg.org,41.9829455,2.8266145
917000812,170031,Clinica Bofill,Ronda Sant Antoni Maria Claret 20,972204350,170792,Girona,17,Girona,9,Cataluña,17002,47,C11,Hospitales Generales,20,Privados,N,,,N,administracio@clinicabofill.net,41.9795893,2.820625
917000814,170059,Clinica Girona,Calle De Barcelona 204,000000000,170792,Girona,17,Girona,9,Cataluña,17005,126,C11,Hospitales Generales,20,Privados,N,,,N,,41.9789294,2.8205478
917000815,170062,Clinica Quirúrgica Onyar,Calle Heroïnes de Santa Bàrbara 6,972204900,170792,Girona,17,Girona,9,Cataluña,17004,38,C11,Hospitales Generales,20,Privados,N,,,N,documentalista@giroclinic.com,41.9765227,2.8247981
917000828,170299,Institut Catalá D'Oncologia Girona - Hospital Josep Trueta,Avenida França S/N,972940200,170792,Girona,17,Girona,9,Cataluña,17007,26,C12,Hospitales especializados,8,Otras Entidades u o rganismos Públicos,N,,,N,ccalle@iconcologia.net,42.005937,2.8164578
917000822,170221,Residencia de Gent Gran Puig D'En Roca,Calle Antoni Vares I Martinell 37,972209250,170792,Girona,17,Girona,9,Cataluña,17007,55,C13,Hospitales de media y larga estancia,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,rgg_puigroca.benestar@gencat.cat,41.9951747,2.8130767
917000813,170010,Hospital Universitari de Girona Dr. Josep Trueta,Avenida França S/N,972940200,170792,Girona,17,Girona,9,Cataluña,17007,431,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,gerencia@htrueta.scs.es,42.005937,2.8164578
917000818,170160,Hospital Sociosanitari de Lloret de Mar,"Calle Vall de Venecià, 59",972364736,170950,Lloret de Mar,17,Girona,9,Cataluña,17310,63,C13,Hospitales de media y larga estancia,8,Otras Entidades u o rganismos Públicos,N,,,N,salut@salutms.org,41.7024844,2.8504118
917000819,170176,Hospital D'Olot I Comarcal de La Garrotxa,Avenida Pastós Catalans 86,972261800,171143,Olot,17,Girona,9,Cataluña,17800,137,C11,Hospitales Generales,20,Privados,N,,,N,direccio@hospiolot.com,42.187545,2.468593
917000830,170312,Centre Palamós Gent Gran,Calle Provença 36,972600160,171181,Palamós,17,Girona,9,Cataluña,17230,100,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,ncomes@ssibe.cat,41.8528448,3.1232217
917000820,170195,Hospital de Palamós,Calle Hospital. 36,972600160,171181,Palamós,17,Girona,9,Cataluña,17230,136,C11,Hospitales Generales,20,Privados,N,,,N,direccio@hosppal.es,41.8530061,3.1314737
917000826,170277,Centre Sociosanitari de Puigcerda,Camino Antic de Llívia S/N,972880150,171411,Puigcerdà,17,Girona,9,Cataluña,17520,52,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,jcatala@hospitalpuigcerda.com,42.4633899,1.9802013
917001139,170334,Hospital de Cerdanya / Hospital de Cerdagne,Camino D'Ur 31,972114090,171411,Puigcerdà,17,Girona,9,Cataluña,17520,66,C11,Hospitales Generales,8,Otras Entidades u o rganismos Públicos,N,,,N,dir@hcerdanya.eu,42.463622,1.9735779
917000816,170301,Hospital Santa Caterina-Ias,Avenida Doctor Castany (P. H. Marta­ I Julià a ) S/N,972182600,171557,Salt,17,Girona,9,Cataluña,17190,178,C11,Hospitales Generales,8,Otras Entidades u o rganismos Públicos,N,,,N,gerencia@ias.scs.es,41.9696535,2.797284
917000829,170323,Centre Sociosanitari Parc Hospitalari Martí I Julia,Calle Dr. Castany S/N,972182512,171557,Salt,17,Girona,9,Cataluña,17190,120,C13,Hospitales de media y larga estancia,8,Otras Entidades u o rganismos Públicos,N,,,N,atenciousuari@ias.scs.es,41.9722455,2.797632
917000817,170216,Hospital Psiquiatric,"Calle Doctor Castany, S/N",972182512,171557,Salt,17,Girona,9,Cataluña,17190,593,C14,Hospitales de salud mental y tratamiento de toxicomanías,8,Otras Entidades u o rganismos Públicos,N,,,N,atenciousuari@ias.scs.es,41.9722455,2.797632
118000554,180093,Hospital de Baza,"Carretera Murcia, Km. 1,6 S/N",958031303,180233,Baza,18,Granada,1,Andalucía,18800,117,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,37.4959685,-2.7581745
118000563,180055,Hospital San Rafael,Calle San Juan de Dios 19-23,958275700,180877,Granada,18,Granada,1,Andalucía,18001,166,C11,Hospitales Generales,20,Privados,N,,,N,centrosanrafael@sjd.es,37.1811035,-3.6027723
118004282,180146,Hospital Vithas Granada,Avenida Santa María de La Alhambra S/N,958001450,180877,Granada,18,Granada,1,Andalucía,18008,77,C11,Hospitales Generales,20,Privados,N,,,N,torresm@vithas.es,37.166103,-3.577888
118000553,180074,Hospital de La Inmaculada Concepción,Calle Doctor Alejandro Otero 8,958187712,180877,Granada,18,Granada,1,Andalucía,18004,95,C11,Hospitales Generales,20,Privados,N,,,N,informacion@hospital-inmaculada.es,37.1640786,-3.6080487
118004562,180150,Hospital Universitario Clínico San Cecilio,Avenida De La Investigación S/N,958021702,180877,Granada,18,Granada,1,Andalucía,18016,543,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180177.0,Hospital Universitario Clínico San Cecilio,N,,37.1474858,-3.6044378
118004856,180042,Hospital  de Neurotraumatología y Rehabilitación del H.U. Virgen de Las Nieves,Carretera De Jaén S/N,958020000,180877,Granada,18,Granada,1,Andalucía,18013,241,C12,Hospitales especializados,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen de Las Nieves,N,,37.1805776,-3.6029403
118000560,180166,Hospital Materno-Infantil del H.U. Virgen de Las Nieves,Avenida De Las Fuerzas Armadas 2,000000000,180877,Granada,18,Granada,1,Andalucía,18014,230,C12,Hospitales especializados,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen de Las Nieves,N,jlsalce@hvn.sas.junta-andalucia.es,37.1884003,-3.6095919
118000556,180016,Hospital Universitario Virgen de Las Nieves,Avenida De Las Fuerzas Armadas 2,958000203,180877,Granada,18,Granada,1,Andalucía,18014,844,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen de Las Nieves,N,direcciongerencia.hvn.sspa@juntadeandalu,37.1884003,-3.6095919
118004857,180191,Hospital Doctor Oloriz,Avenida Dr. Oloriz 16,958023000,180877,Granada,18,Granada,1,Andalucía,18012,50,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen de Las Nieves,N,,37.187623,-3.6053926
118001566,180122,Hospital de Alta Resolución de  Guadix,Avenida Mariana Pineda S/N,958699136,180896,Guadix,18,Granada,1,Andalucía,18500,50,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180188.0,Hospital Universitario Virgen de Las Nieves,N,sugerencias@ephpo.es,37.3048025,-3.1436401
118004203,180133,Hospital de Alta Resolución de Loja,Avenida Tierno Galván S/N,958338150,181226,Loja,18,Granada,1,Andalucía,18300,22,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,180177.0,Hospital Universitario Clínico San Cecilio,N,,37.1709099,-4.1529017
118000562,180107,Hospital Santa Ana,Avenida Enrique Martin Cuevas S/N,958038200,181400,Motril,18,Granada,1,Andalucía,18600,184,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,francisco.perez.saez.sspa@juntadeandaluc,36.7531259,-3.5218155
819000193,190045,Clínica Doctor Sanz Vázquez,Paseo Doctor Fernández Iparraguirre 6,949227200,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19001,40,C11,Hospitales Generales,20,Privados,N,,,N,daniel.fernandezsalinas@grupohla.com,40.63018,-3.16594
819000025,190030,Clínica La Antigua,Calle Constitución 18,949223600,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19003,63,C11,Hospitales Generales,20,Privados,N,,,N,,40.6296609,-3.1758087
819000010,190077,Instituto de Enfermedades Neurológicas de Castilla-La Mancha,Paseo De La Estación 2,949211500,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19004,147,C13,Hospitales de media y larga estancia,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,40.6409616,-3.1731699
819000009,190019,Hospital Universitario de Guadalajara,Avenida Donantes de Sangre S/N,949209200,191305,Guadalajara,19,Guadalajara,8,Castilla-La Mancha,19002,496,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,40.6189245,-3.1549377
819000180,190061,U.R.R. de Enfermos Psíquicos Alcohete,Paseo Conde Romanones S/N S/N,949291136,193264,Yebes,19,Guadalajara,8,Castilla-La Mancha,19141,165,C14,Hospitales de salud mental y tratamiento de toxicomanías,4,Otros Centros o Establecimientos Públicos de Dependencia Autonómica,N,,,N,mvpchaves@jccm.es,40.5804815,-3.1153238
1620000015,200202,Hospital Psiquiátrico San Juan de Dios,Calle Gesalibar ( Au/Ba ) 14,943793078;943793900,200551,Arrasate/Mondragón,20,Guipúzcoa,16,País Vasco,20509,276,C14,Hospitales de salud mental y tratamiento de toxicomanías,22,Organizaciones No Gubernamentales,N,,,N,mondragon.hospital@hsjd.es,43.0637297,-2.5305456
